2026-04-08 10:38:53 | INFO | PACKET_RECEIVED | node_id=node-f34001a3 | LATENCY | 33.82
2026-04-08 10:38:53 | INFO | PACKET_RECEIVED | node_id=node-f34001a3 | PACKET_LOSS | 0.00
2026-04-08 10:38:53 | INFO | PACKET_RECEIVED | node_id=node-f34001a3 | HOSTNAME | ubuntu-server
2026-04-08 10:38:53 | INFO | PACKET_RECEIVED | node_id=node-f34001a3 | PLATFORM | Linux
2026-04-08 10:38:53 | INFO | PACKET_RECEIVED | node_id=node-f34001a3 | UPTIME_SECONDS | 564
2026-04-08 10:38:53 | INFO | PACKET_RECEIVED | node_id=node-f34001a3 | LOAD_AVERAGE | 0.00
2026-04-08 10:38:58 | INFO | PACKET_RECEIVED | node_id=node-f34001a3 | NODE_STATUS | ALIVE
2026-04-08 10:38:58 | INFO | PACKET_RECEIVED | node_id=node-f34001a3 | PROBE | 114
2026-04-08 10:38:58 | INFO | PACKET_RECEIVED | node_id=node-f34001a3 | LATENCY | 30.85
2026-04-08 10:38:58 | INFO | PACKET_RECEIVED | node_id=node-f34001a3 | PACKET_LOSS | 0.00
2026-04-08 10:38:58 | INFO | PACKET_RECEIVED | node_id=node-f34001a3 | HOSTNAME | ubuntu-server
2026-04-08 10:38:58 | INFO | PACKET_RECEIVED | node_id=node-f34001a3 | PLATFORM | Linux
2026-04-08 10:38:58 | INFO | PACKET_RECEIVED | node_id=node-f34001a3 | UPTIME_SECONDS | 569
2026-04-08 10:38:58 | INFO | PACKET_RECEIVED | node_id=node-f34001a3 | LOAD_AVERAGE | 0.00
2026-04-08 10:39:03 | INFO | PACKET_RECEIVED | node_id=node-f34001a3 | NODE_STATUS | ALIVE
2026-04-08 10:39:03 | INFO | PACKET_RECEIVED | node_id=node-f34001a3 | PROBE | 115
2026-04-08 10:39:03 | INFO | PACKET_RECEIVED | node_id=node-f34001a3 | LATENCY | 30.70
2026-04-08 10:39:03 | INFO | PACKET_RECEIVED | node_id=node-f34001a3 | PACKET_LOSS | 0.00
